[0.175s] Invoking command in '/home/saif/Desktop/ROARTASK/ros2_ws/build/my_robot_gazebo': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/saif/Desktop/ROARTASK/ros2_ws/install/aruco_tracking:/home/saif/Desktop/RosData/ros2_prog1/install/my_py_pkg1:/opt/ros/humble /usr/bin/cmake --build /home/saif/Desktop/ROARTASK/ros2_ws/build/my_robot_gazebo -- -j16 -l16
[0.214s] Invoked command in '/home/saif/Desktop/ROARTASK/ros2_ws/build/my_robot_gazebo' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/saif/Desktop/ROARTASK/ros2_ws/install/aruco_tracking:/home/saif/Desktop/RosData/ros2_prog1/install/my_py_pkg1:/opt/ros/humble /usr/bin/cmake --build /home/saif/Desktop/ROARTASK/ros2_ws/build/my_robot_gazebo -- -j16 -l16
[0.215s] Invoking command in '/home/saif/Desktop/ROARTASK/ros2_ws/build/my_robot_gazebo': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/saif/Desktop/ROARTASK/ros2_ws/install/aruco_tracking:/home/saif/Desktop/RosData/ros2_prog1/install/my_py_pkg1:/opt/ros/humble /usr/bin/cmake --install /home/saif/Desktop/ROARTASK/ros2_ws/build/my_robot_gazebo
[0.221s] -- Install configuration: ""
[0.221s] -- Execute custom install script
[0.221s] -- Up-to-date symlink: /home/saif/Desktop/ROARTASK/ros2_ws/install/my_robot_gazebo/share/my_robot_gazebo/worlds/marker_world.world
[0.222s] -- Up-to-date symlink: /home/saif/Desktop/ROARTASK/ros2_ws/install/my_robot_gazebo/share/my_robot_gazebo/models/pole51/meshes/15.png
[0.222s] -- Up-to-date symlink: /home/saif/Desktop/ROARTASK/ros2_ws/install/my_robot_gazebo/share/my_robot_gazebo/models/pole51/meshes/pole51.dae
[0.222s] -- Up-to-date symlink: /home/saif/Desktop/ROARTASK/ros2_ws/install/my_robot_gazebo/share/my_robot_gazebo/models/pole51/meshes/pole51.stl
[0.222s] -- Up-to-date symlink: /home/saif/Desktop/ROARTASK/ros2_ws/install/my_robot_gazebo/share/my_robot_gazebo/models/pole51/model.config
[0.223s] -- Up-to-date symlink: /home/saif/Desktop/ROARTASK/ros2_ws/install/my_robot_gazebo/share/my_robot_gazebo/models/pole51/model.sdf
[0.223s] -- Up-to-date symlink: /home/saif/Desktop/ROARTASK/ros2_ws/install/my_robot_gazebo/share/my_robot_gazebo/models/pole52/meshes/14.png
[0.223s] -- Up-to-date symlink: /home/saif/Desktop/ROARTASK/ros2_ws/install/my_robot_gazebo/share/my_robot_gazebo/models/pole52/meshes/pole52.dae
[0.223s] -- Up-to-date symlink: /home/saif/Desktop/ROARTASK/ros2_ws/install/my_robot_gazebo/share/my_robot_gazebo/models/pole52/meshes/pole52.stl
[0.223s] -- Up-to-date symlink: /home/saif/Desktop/ROARTASK/ros2_ws/install/my_robot_gazebo/share/my_robot_gazebo/models/pole52/model.config
[0.223s] -- Up-to-date symlink: /home/saif/Desktop/ROARTASK/ros2_ws/install/my_robot_gazebo/share/my_robot_gazebo/models/pole52/model.sdf
[0.223s] -- Up-to-date symlink: /home/saif/Desktop/ROARTASK/ros2_ws/install/my_robot_gazebo/share/my_robot_gazebo/models/pole53/meshes/13.png
[0.223s] -- Up-to-date symlink: /home/saif/Desktop/ROARTASK/ros2_ws/install/my_robot_gazebo/share/my_robot_gazebo/models/pole53/meshes/13.pngZone.Identifier
[0.223s] -- Up-to-date symlink: /home/saif/Desktop/ROARTASK/ros2_ws/install/my_robot_gazebo/share/my_robot_gazebo/models/pole53/meshes/pole53.dae
[0.223s] -- Up-to-date symlink: /home/saif/Desktop/ROARTASK/ros2_ws/install/my_robot_gazebo/share/my_robot_gazebo/models/pole53/meshes/pole53.daeZone.Identifier
[0.223s] -- Up-to-date symlink: /home/saif/Desktop/ROARTASK/ros2_ws/install/my_robot_gazebo/share/my_robot_gazebo/models/pole53/meshes/pole53.stl
[0.224s] -- Up-to-date symlink: /home/saif/Desktop/ROARTASK/ros2_ws/install/my_robot_gazebo/share/my_robot_gazebo/models/pole53/meshes/pole53.stlZone.Identifier
[0.224s] -- Up-to-date symlink: /home/saif/Desktop/ROARTASK/ros2_ws/install/my_robot_gazebo/share/my_robot_gazebo/models/pole53/model.config
[0.224s] -- Up-to-date symlink: /home/saif/Desktop/ROARTASK/ros2_ws/install/my_robot_gazebo/share/my_robot_gazebo/models/pole53/model.configZone.Identifier
[0.224s] -- Up-to-date symlink: /home/saif/Desktop/ROARTASK/ros2_ws/install/my_robot_gazebo/share/my_robot_gazebo/models/pole53/model.sdf
[0.224s] -- Up-to-date symlink: /home/saif/Desktop/ROARTASK/ros2_ws/install/my_robot_gazebo/share/my_robot_gazebo/models/pole53/model.sdfZone.Identifier
[0.224s] -- Up-to-date symlink: /home/saif/Desktop/ROARTASK/ros2_ws/install/my_robot_gazebo/share/my_robot_gazebo/models/pole54/meshes/12.png
[0.224s] -- Up-to-date symlink: /home/saif/Desktop/ROARTASK/ros2_ws/install/my_robot_gazebo/share/my_robot_gazebo/models/pole54/meshes/12.pngZone.Identifier
[0.224s] -- Up-to-date symlink: /home/saif/Desktop/ROARTASK/ros2_ws/install/my_robot_gazebo/share/my_robot_gazebo/models/pole54/meshes/pole54.dae
